,home_team,away_team,home_score,away_score,date,home_point,away_point,Division
136,Edmonton Oilers,Ottawa Senators,8,5,"Feb 01, 21",2,0,Scotia North
135,Chicago Blackhawks,Columbus Blue Jackets,3,1,"Feb 01, 21",2,0,Discover Central
132,Philadelphia Flyers,New York Islanders,4,3,"Feb 01, 21",2,1,MassMutual East
137,Minnesota Wild,Colorado Avalanche,4,3,"Feb 01, 21",2,1,Honda West
138,Anaheim Ducks,St. Louis Blues,1,4,"Feb 01, 21",0,2,Honda West
140,Washington Capitals,Boston Bruins,3,5,"Feb 02, 21",0,2,MassMutual East
141,Tampa Bay Lightning,Nashville Predators,5,2,"Feb 02, 21",2,0,Discover Central
142,Montréal Canadiens,Vancouver Canucks,6,2,"Feb 02, 21",2,0,Scotia North
143,Winnipeg Jets,Calgary Flames,3,4,"Feb 02, 21",1,2,Scotia North
139,New York Rangers,Pittsburgh Penguins,3,1,"Feb 02, 21",2,0,MassMutual East
155,Los Angeles Kings,Anaheim Ducks,1,3,"Feb 03, 21",0,2,Honda West
148,St. Louis Blues,Arizona Coyotes,4,3,"Feb 03, 21",2,0,Honda West
149,Montréal Canadiens,Vancouver Canucks,5,3,"Feb 03, 21",2,0,Scotia North
150,Winnipeg Jets,Calgary Flames,3,2,"Feb 03, 21",2,0,Scotia North
151,Edmonton Oilers,Ottawa Senators,4,2,"Feb 03, 21",2,0,Scotia North
152,Colorado Avalanche,Minnesota Wild,2,1,"Feb 03, 21",2,0,Honda West
154,Tampa Bay Lightning,Detroit Red Wings,5,1,"Feb 03, 21",2,0,Discover Central
146,Columbus Blue Jackets,Dallas Stars,3,6,"Feb 03, 21",0,2,Discover Central
147,Chicago Blackhawks,Carolina Hurricanes,3,4,"Feb 03, 21",1,2,Discover Central
153,Philadelphia Flyers,Boston Bruins,3,4,"Feb 04, 21",1,2,MassMutual East
158,Florida Panthers,Nashville Predators,5,6,"Feb 05, 21",1,2,Discover Central
159,Columbus Blue Jackets,Dallas Stars,4,3,"Feb 05, 21",2,0,Discover Central
160,Chicago Blackhawks,Carolina Hurricanes,6,4,"Feb 05, 21",2,0,Discover Central
161,St. Louis Blues,Arizona Coyotes,3,4,"Feb 05, 21",0,2,Honda West
162,Montréal Canadiens,Ottawa Senators,2,3,"Feb 05, 21",0,2,Scotia North
163,Toronto Maple Leafs,Vancouver Canucks,7,3,"Feb 05, 21",2,0,Scotia North
164,Winnipeg Jets,Calgary Flames,4,1,"Feb 05, 21",2,0,Scotia North
157,New York Rangers,Washington Capitals,4,2,"Feb 05, 21",2,0,MassMutual East
173,Ottawa Senators,Montréal Canadiens,1,2,"Feb 06, 21",0,2,Scotia North
170,Anaheim Ducks,San Jose Sharks,4,5,"Feb 06, 21",1,2,Honda West
166,Philadelphia Flyers,Boston Bruins,1,2,"Feb 06, 21",0,2,MassMutual East
168,Florida Panthers,Nashville Predators,2,1,"Feb 06, 21",2,0,Discover Central
167,Tampa Bay Lightning,Detroit Red Wings,3,1,"Feb 06, 21",2,0,Discover Central
169,Vegas Golden Knights,Los Angeles Kings,5,2,"Feb 06, 21",2,0,Honda West
180,Dallas Stars,Chicago Blackhawks,1,2,"Feb 07, 21",1,2,Discover Central
181,Vegas Golden Knights,Los Angeles Kings,4,3,"Feb 07, 21",2,0,Honda West
179,Columbus Blue Jackets,Carolina Hurricanes,5,6,"Feb 07, 21",0,2,Discover Central
176,Anaheim Ducks,San Jose Sharks,2,1,"Feb 07, 21",2,1,Honda West
178,Florida Panthers,Detroit Red Wings,1,4,"Feb 07, 21",0,2,Discover Central
174,Toronto Maple Leafs,Vancouver Canucks,5,1,"Feb 07, 21",2,0,Scotia North
175,Calgary Flames,Edmonton Oilers,6,4,"Feb 07, 21",2,0,Scotia North
177,Washington Capitals,Philadelphia Flyers,4,7,"Feb 07, 21",0,2,MassMutual East
172,New York Islanders,Pittsburgh Penguins,4,3,"Feb 07, 21",2,0,MassMutual East
182,New York Rangers,New York Islanders,0,2,"Feb 09, 21",0,2,MassMutual East
183,Columbus Blue Jackets,Carolina Hurricanes,3,2,"Feb 09, 21",2,0,Discover Central
184,Nashville Predators,Tampa Bay Lightning,1,4,"Feb 09, 21",0,2,Discover Central
185,Ottawa Senators,Edmonton Oilers,1,3,"Feb 09, 21",0,2,Scotia North
186,Toronto Maple Leafs,Vancouver Canucks,3,1,"Feb 09, 21",2,0,Scotia North
187,Florida Panthers,Detroit Red Wings,2,1,"Feb 10, 21",2,0,Discover Central
188,Nashville Predators,Tampa Bay Lightning,1,6,"Feb 10, 21",0,2,Discover Central
189,Ottawa Senators,Edmonton Oilers,2,3,"Feb 10, 21",0,2,Scotia North
190,Calgary Flames,Winnipeg Jets,3,2,"Feb 10, 21",2,0,Scotia North
191,Dallas Stars,Chicago Blackhawks,1,2,"Feb 10, 21",1,2,Discover Central
192,Vegas Golden Knights,Anaheim Ducks,5,4,"Feb 10, 21",2,0,Honda West
193,Los Angeles Kings,San Jose Sharks,3,4,"Feb 10, 21",1,2,Honda West
194,New York Rangers,Boston Bruins,2,3,"Feb 11, 21",1,2,MassMutual East
195,Montréal Canadiens,Toronto Maple Leafs,2,4,"Feb 11, 21",0,2,Scotia North
197,Florida Panthers,Tampa Bay Lightning,5,2,"Feb 12, 21",2,0,Discover Central
205,Los Angeles Kings,San Jose Sharks,6,2,"Feb 12, 21",2,0,Honda West
204,Vegas Golden Knights,Anaheim Ducks,0,1,"Feb 12, 21",0,2,Honda West
202,Vancouver Canucks,Calgary Flames,1,3,"Feb 12, 21",0,2,Scotia North
201,Winnipeg Jets,Ottawa Senators,5,1,"Feb 12, 21",2,0,Scotia North
203,Dallas Stars,Carolina Hurricanes,3,5,"Feb 12, 21",0,2,Discover Central
199,Nashville Predators,Detroit Red Wings,3,2,"Feb 12, 21",2,0,Discover Central
198,Chicago Blackhawks,Columbus Blue Jackets,5,6,"Feb 12, 21",0,2,Discover Central
196,New York Islanders,Pittsburgh Penguins,3,4,"Feb 12, 21",1,2,MassMutual East
200,Montréal Canadiens,Edmonton Oilers,0,3,"Feb 12, 21",0,2,Scotia North
144,San Jose Sharks,Vegas Golden Knights,1,3,"Feb 13, 21",0,2,Honda West
206,New York Rangers,Boston Bruins,0,1,"Feb 13, 21",0,2,MassMutual East
212,Winnipeg Jets,Ottawa Senators,1,2,"Feb 13, 21",0,2,Scotia North
213,Vancouver Canucks,Calgary Flames,3,1,"Feb 14, 21",2,0,Scotia North
216,Pittsburgh Penguins,Washington Capitals,6,3,"Feb 14, 21",2,0,MassMutual East
215,Arizona Coyotes,St. Louis Blues,4,5,"Feb 14, 21",1,2,Honda West
214,Dallas Stars,Carolina Hurricanes,3,4,"Feb 14, 21",1,2,Discover Central
209,Chicago Blackhawks,Columbus Blue Jackets,3,2,"Feb 14, 21",2,1,Discover Central
210,Nashville Predators,Detroit Red Wings,2,4,"Feb 14, 21",0,2,Discover Central
208,Florida Panthers,Tampa Bay Lightning,1,6,"Feb 14, 21",0,2,Discover Central
207,New York Islanders,Boston Bruins,4,2,"Feb 14, 21",2,0,MassMutual East
211,Toronto Maple Leafs,Montréal Canadiens,1,2,"Feb 14, 21",0,2,Scotia North
217,Vegas Golden Knights,Colorado Avalanche,1,0,"Feb 15, 21",2,0,Honda West
225,Arizona Coyotes,St. Louis Blues,1,0,"Feb 15, 21",2,0,Honda West
223,Vancouver Canucks,Calgary Flames,3,4,"Feb 16, 21",1,2,Scotia North
219,Buffalo Sabres,New York Islanders,1,3,"Feb 16, 21",0,2,MassMutual East
220,Detroit Red Wings,Chicago Blackhawks,2,3,"Feb 16, 21",1,2,Discover Central
221,Toronto Maple Leafs,Ottawa Senators,5,6,"Feb 16, 21",1,2,Scotia North
222,Edmonton Oilers,Winnipeg Jets,5,6,"Feb 16, 21",0,2,Scotia North
226,San Jose Sharks,Anaheim Ducks,3,2,"Feb 16, 21",2,0,Honda West
229,Tampa Bay Lightning,Florida Panthers,4,6,"Feb 16, 21",0,2,Discover Central
228,Carolina Hurricanes,Columbus Blue Jackets,7,3,"Feb 16, 21",2,0,Discover Central
227,Buffalo Sabres,New York Islanders,0,3,"Feb 17, 21",0,2,MassMutual East
331,New York Rangers,New Jersey Devils,2,5,"Feb 17, 21",0,2,MassMutual East
230,Pittsburgh Penguins,Washington Capitals,1,3,"Feb 17, 21",0,2,MassMutual East
231,Vegas Golden Knights,Colorado Avalanche,2,3,"Feb 17, 21",0,2,Honda West
232,Los Angeles Kings,Minnesota Wild,4,0,"Feb 17, 21",2,0,Honda West
58,Carolina Hurricanes,Florida Panthers,3,4,"Feb 17, 21",1,2,Discover Central
233,Detroit Red Wings,Chicago Blackhawks,0,2,"Feb 18, 21",0,2,Discover Central
234,Toronto Maple Leafs,Ottawa Senators,2,1,"Feb 18, 21",2,0,Scotia North
235,Calgary Flames,Vancouver Canucks,1,5,"Feb 18, 21",0,2,Scotia North
236,Edmonton Oilers,Winnipeg Jets,3,2,"Feb 18, 21",2,0,Scotia North
245,Anaheim Ducks,Minnesota Wild,1,3,"Feb 19, 21",0,2,Honda West
244,Arizona Coyotes,Los Angeles Kings,2,3,"Feb 19, 21",1,2,Honda West
242,Toronto Maple Leafs,Ottawa Senators,7,3,"Feb 19, 21",2,0,Scotia North
237,Boston Bruins,New Jersey Devils,2,3,"Feb 19, 21",0,2,MassMutual East
240,Columbus Blue Jackets,Nashville Predators,3,0,"Feb 19, 21",2,0,Discover Central
239,Pittsburgh Penguins,New York Islanders,4,1,"Feb 19, 21",2,0,MassMutual East
238,Philadelphia Flyers,New York Rangers,2,3,"Feb 19, 21",1,2,MassMutual East
241,St. Louis Blues,San Jose Sharks,3,2,"Feb 19, 21",2,1,Honda West
251,Washington Capitals,New York Rangers,1,4,"Feb 20, 21",0,2,MassMutual East
261,Detroit Red Wings,Florida Panthers,2,1,"Feb 20, 21",2,0,Discover Central
250,New Jersey Devils,Buffalo Sabres,2,3,"Feb 20, 21",0,2,MassMutual East
257,Colorado Avalanche,Vegas Golden Knights,3,2,"Feb 20, 21",2,0,Honda West
248,Calgary Flames,Edmonton Oilers,1,2,"Feb 20, 21",0,2,Scotia North
246,Carolina Hurricanes,Chicago Blackhawks,5,3,"Feb 20, 21",2,0,Discover Central
247,Detroit Red Wings,Florida Panthers,2,7,"Feb 20, 21",0,2,Discover Central
249,Vancouver Canucks,Winnipeg Jets,0,2,"Feb 20, 21",0,2,Scotia North
255,Montréal Canadiens,Toronto Maple Leafs,3,5,"Feb 21, 21",0,2,Scotia North
254,St. Louis Blues,San Jose Sharks,4,5,"Feb 21, 21",0,2,Honda West
358,Washington Capitals,New Jersey Devils,4,3,"Feb 21, 21",2,0,MassMutual East
252,Pittsburgh Penguins,New York Islanders,3,2,"Feb 21, 21",2,0,MassMutual East
259,Anaheim Ducks,Minnesota Wild,1,5,"Feb 21, 21",0,2,Honda West
256,Edmonton Oilers,Calgary Flames,7,1,"Feb 21, 21",2,0,Scotia North
258,Arizona Coyotes,Los Angeles Kings,2,4,"Feb 21, 21",0,2,Honda West
253,Columbus Blue Jackets,Nashville Predators,2,4,"Feb 21, 21",0,2,Discover Central
262,Ottawa Senators,Montréal Canadiens,3,2,"Feb 22, 21",2,1,Scotia North
260,Boston Bruins,Philadelphia Flyers,7,3,"Feb 22, 21",2,0,MassMutual East
263,Vancouver Canucks,Winnipeg Jets,3,4,"Feb 22, 21",1,2,Scotia North
266,St. Louis Blues,Los Angeles Kings,0,3,"Feb 23, 21",0,2,Honda West
267,Toronto Maple Leafs,Calgary Flames,0,3,"Feb 23, 21",0,2,Scotia North
268,Colorado Avalanche,Vegas Golden Knights,0,3,"Feb 23, 21",0,2,Honda West
269,Arizona Coyotes,Anaheim Ducks,4,3,"Feb 23, 21",2,0,Honda West
8,Florida Panthers,Dallas Stars,3,1,"Feb 23, 21",2,0,Discover Central
145,New York Islanders,Buffalo Sabres,3,2,"Feb 23, 21",2,0,MassMutual East
93,Carolina Hurricanes,Tampa Bay Lightning,2,4,"Feb 23, 21",0,2,Discover Central
274,Detroit Red Wings,Nashville Predators,0,2,"Feb 24, 21",0,2,Discover Central
264,New Jersey Devils,Buffalo Sabres,1,4,"Feb 24, 21",0,2,MassMutual East
265,Tampa Bay Lightning,Carolina Hurricanes,3,0,"Feb 24, 21",2,0,Discover Central
271,Washington Capitals,Pittsburgh Penguins,2,3,"Feb 24, 21",1,2,MassMutual East
276,Vancouver Canucks,Edmonton Oilers,3,4,"Feb 24, 21",0,2,Scotia North
275,Ottawa Senators,Montréal Canadiens,5,4,"Feb 24, 21",2,1,Scotia North
273,Columbus Blue Jackets,Chicago Blackhawks,5,6,"Feb 24, 21",1,2,Discover Central
272,Florida Panthers,Dallas Stars,0,3,"Feb 24, 21",0,2,Discover Central
277,Philadelphia Flyers,New York Rangers,4,3,"Feb 25, 21",2,0,MassMutual East
278,St. Louis Blues,Los Angeles Kings,1,2,"Feb 25, 21",0,2,Honda West
279,Toronto Maple Leafs,Calgary Flames,2,1,"Feb 25, 21",2,1,Scotia North
280,Arizona Coyotes,Anaheim Ducks,4,3,"Feb 25, 21",2,1,Honda West
165,Colorado Avalanche,Minnesota Wild,2,6,"Feb 25, 21",0,2,Honda West
289,Vancouver Canucks,Edmonton Oilers,0,3,"Feb 26, 21",0,2,Scotia North
286,Detroit Red Wings,Nashville Predators,5,2,"Feb 26, 21",2,0,Discover Central
287,Ottawa Senators,Calgary Flames,6,1,"Feb 26, 21",2,0,Scotia North
288,Winnipeg Jets,Montréal Canadiens,6,3,"Feb 26, 21",2,0,Scotia North
284,Florida Panthers,Dallas Stars,3,2,"Feb 26, 21",2,0,Discover Central
282,Washington Capitals,Pittsburgh Penguins,5,2,"Feb 26, 21",2,0,MassMutual East
285,Columbus Blue Jackets,Chicago Blackhawks,0,2,"Feb 26, 21",0,2,Discover Central
281,New York Islanders,Boston Bruins,7,2,"Feb 26, 21",2,0,MassMutual East
283,Tampa Bay Lightning,Carolina Hurricanes,3,1,"Feb 26, 21",2,0,Discover Central
293,Minnesota Wild,Los Angeles Kings,3,1,"Feb 27, 21",2,0,Honda West
